aX,aY,aZ,gX,gY,gZ
-0.255,0.171,0.961,4.517,-2.380,2.014
-0.250,0.168,0.980,3.601,-3.174,1.953
-0.250,0.174,0.995,3.479,-3.296,2.258
-0.252,0.174,0.998,3.784,-3.052,2.502
-0.251,0.175,0.993,3.723,-2.991,2.563
-0.248,0.172,0.985,2.869,-3.174,2.502
-0.241,0.175,0.984,1.587,-3.418,2.808
-0.239,0.173,0.988,0.854,-3.052,3.662
-0.236,0.170,0.986,0.732,-1.038,4.761
-0.238,0.167,0.969,2.136,2.136,6.104
-0.243,0.168,0.940,3.113,5.127,7.385
-0.242,0.173,0.896,3.723,6.287,7.874
-0.239,0.169,0.869,4.333,4.761,7.568
-0.237,0.161,0.857,4.272,2.625,7.141
-0.222,0.154,0.834,4.150,0.854,7.141
-0.214,0.151,0.808,6.409,-1.465,7.751
-0.208,0.141,0.784,10.254,-3.723,8.789
-0.196,0.122,0.744,12.756,-5.554,9.399
-0.177,0.100,0.651,13.184,-7.141,10.254
-0.152,0.080,0.560,11.536,-14.282,12.756

-0.600,0.109,1.787,6.836,1.160,-8.362
-0.570,0.107,1.780,-1.526,-2.808,-10.620
-0.576,0.103,1.762,-7.568,-4.639,-9.216
-0.597,0.084,1.720,-12.817,-5.371,-6.042
-0.598,0.073,1.674,-20.203,-7.019,-2.808
-0.629,0.060,1.651,-27.954,-10.010,1.404
-0.663,0.045,1.641,-33.691,-11.108,3.479
-0.648,0.027,1.651,-36.926,-8.423,1.892
-0.666,0.028,1.639,-37.292,-5.676,-2.075
-0.688,-0.004,1.734,-38.025,-5.493,-7.080
-0.658,0.003,1.866,-39.063,-3.357,-7.690
-0.654,0.022,2.028,-39.490,5.737,-6.470
-0.600,0.066,2.066,-42.969,24.597,-5.676
-0.518,0.075,1.930,-47.058,50.415,-7.751
-0.457,0.072,1.738,-49.805,71.655,-11.169
-0.382,0.070,1.561,-52.795,82.458,-14.343
-0.310,0.062,1.353,-55.176,84.106,-14.954
-0.229,0.025,1.164,-57.007,75.195,-12.329
-0.160,0.028,0.987,-57.129,58.044,-5.249
-0.114,0.078,0.853,-52.490,35.522,3.174
-0.086,0.095,0.697,-40.344,13.733,8.911
-0.064,0.106,0.552,-27.466,-6.775,12.390
-0.056,0.126,0.432,-21.301,-25.696,14.282
-0.144,0.055,0.337,-19.165,-40.466,15.625
-0.112,0.028,0.231,-21.729,-49.561,26.917
-0.108,0.057,0.137,-17.944,-59.265,40.955
-0.127,0.099,0.039,-5.981,-64.453,46.570
-0.160,0.130,-0.097,6.653,-62.805,43.152
-0.191,0.129,-0.212,15.564,-59.448,32.410
-0.187,0.139,-0.259,16.785,-57.861,18.433
-0.207,0.120,-0.211,16.296,-58.960,3.540
-0.208,0.062,-0.100,19.043,-60.974,-5.432
-0.193,0.017,0.009,21.851,-60.852,-8.484
-0.184,-0.011,0.110,24.475,-58.228,-7.874
-0.199,-0.018,0.204,26.367,-55.298,-4.456
-0.214,-0.014,0.272,28.259,-53.040,-1.343
-0.218,-0.031,0.288,30.640,-50.598,1.465
-0.228,-0.042,0.355,29.846,-51.758,3.784
-0.253,-0.049,0.474,22.095,-50.842,4.822
-0.274,-0.060,0.575,12.207,-42.725,3.601
-0.289,-0.066,0.622,4.517,-29.480,2.319
-0.310,-0.035,0.650,-2.258,-19.287,2.014
-0.330,-0.032,0.707,-8.545,-15.686,-0.061
-0.337,-0.031,0.818,-14.771,-13.245,-2.502
-0.349,-0.010,0.910,-15.442,-5.249,-2.991
-0.354,0.033,0.969,-12.329,5.615,-4.517
-0.369,-0.022,1.019,-8.728,17.334,-9.460
-0.400,-0.003,1.053,-7.568,30.457,-6.897
-0.419,0.147,0.986,-3.601,39.734,-5.310
-0.427,-0.022,0.998,-2.075,38.452,-16.968
-0.416,-0.052,1.056,-8.301,38.025,-14.465
-0.427,0.077,1.007,-5.554,40.955,-3.967
-0.446,0.089,0.956,-1.709,37.720,-3.052
-0.443,0.039,0.962,-4.089,27.710,-6.958
-0.440,0.055,0.992,-4.456,18.005,-6.836
-0.450,0.093,1.005,-4.517,13.733,-5.554
