aX,aY,aZ,gX,gY,gZ
-0.044,-0.141,0.428,27.039,-25.818,-42.297
-0.014,-0.151,0.504,31.494,-28.259,-49.622
0.026,-0.171,0.593,35.217,-27.649,-52.124
0.075,-0.186,0.679,46.570,-22.644,-50.903
0.113,-0.175,0.703,63.416,-14.038,-45.044
0.152,-0.099,0.755,68.665,-8.057,-35.522
0.146,-0.012,0.837,69.153,-5.310,-26.611
0.139,0.001,0.845,70.984,0.183,-25.940
0.163,-0.030,0.829,69.397,7.629,-27.527
0.159,-0.013,0.831,69.702,17.090,-21.118
0.137,0.029,0.868,71.167,26.489,-12.268
0.122,0.076,0.869,67.993,36.133,-3.845
0.111,0.132,0.880,63.965,43.579,2.380
0.083,0.075,0.945,63.416,44.373,1.770
0.051,-0.116,0.966,55.298,39.978,1.282
-0.018,-0.058,1.156,4.761,32.776,11.230
-0.050,-0.038,1.279,-16.724,29.724,16.296
-0.120,-0.053,1.363,-5.859,33.752,14.893
-0.259,-0.111,1.467,0.122,37.537,10.620
-0.230,-0.118,1.382,-7.324,51.636,4.639
-0.287,-0.152,1.409,-12.390,58.044,-2.075
-0.246,-0.122,1.475,-33.325,56.519,-8.423
-0.165,-0.073,1.482,-63.599,60.608,-13.611
-0.089,-0.079,1.498,-72.449,58.228,-21.057
-0.052,-0.123,1.587,-72.083,50.171,-26.672
-0.022,-0.135,1.643,-70.068,43.274,-27.893
0.014,-0.149,1.633,-69.336,38.879,-26.428
0.024,-0.147,1.643,-67.505,34.546,-21.973
0.035,-0.129,1.634,-64.026,31.250,-14.343
0.068,-0.054,1.577,-67.993,30.579,-6.897
0.088,0.006,1.501,-69.702,29.846,-3.662
0.098,0.045,1.426,-67.139,26.672,-2.747
0.090,0.051,1.381,-59.631,21.729,-2.808
0.085,0.060,1.343,-52.612,16.602,-2.441
0.083,0.053,1.317,-46.082,10.254,-2.319
0.078,0.047,1.304,-42.053,2.625,-1.709
0.068,0.057,1.286,-35.645,-3.479,-0.854
0.047,0.056,1.247,-27.405,-7.629,-1.526
0.031,0.024,1.191,-20.813,-9.949,-3.296
0.026,0.028,1.134,-19.958,-10.559,-2.869
0.027,0.049,1.083,-18.860,-10.620,-2.380
0.028,0.067,1.042,-17.700,-11.536,-2.808
0.032,0.061,1.000,-15.320,-11.780,-4.150
0.045,0.055,0.956,-14.038,-11.841,-5.798
0.059,0.057,0.920,-12.573,-12.268,-7.019
0.066,0.057,0.904,-10.132,-13.000,-7.996
0.060,0.057,0.912,-6.897,-13.977,-9.094
0.114,0.024,0.903,-5.127,-15.564,-9.705
0.064,0.030,0.939,-2.991,-16.968,-6.775
0.040,0.033,0.927,4.822,-15.869,-6.165
0.045,0.028,0.940,1.831,-14.832,-6.409
0.054,0.032,0.941,-1.526,-12.939,-6.470
0.054,0.029,0.930,-3.174,-9.888,-6.348
0.045,0.038,0.927,-4.578,-6.958,-5.371
0.050,0.060,0.926,-5.188,-4.517,-5.249
0.068,0.047,0.934,-6.165,-3.052,-7.568
0.072,0.039,0.947,-6.897,-1.953,-8.423
0.083,0.042,0.956,-7.385,-0.854,-7.629
0.067,0.046,0.967,-9.094,0.244,-6.226
0.056,0.043,0.969,-11.108,0.427,-5.798
0.044,0.047,0.974,-17.273,0.366,-5.737
0.021,0.081,0.976,-26.123,0.061,-6.409
0.017,0.084,0.977,-33.020,-1.770,-10.071
0.026,0.074,0.973,-37.720,-3.235,-14.771
0.067,0.065,0.973,-34.973,-4.700,-18.127
0.094,0.065,0.966,-29.907,-5.493,-17.883
0.108,0.096,0.939,-21.973,-5.920,-14.954
0.107,0.115,0.941,-11.719,-6.958,-14.954
0.106,0.094,0.960,-7.080,-8.362,-16.479
0.116,0.085,0.972,-5.737,-7.751,-16.296
0.097,0.073,0.987,-2.991,-6.287,-14.282
0.065,0.079,0.992,-0.671,-4.333,-11.108
0.044,0.075,0.999,1.648,-2.869,-10.559
0.030,0.055,1.016,0.183,-1.770,-10.620
0.026,0.052,1.008,-2.380,0.305,-8.301
0.027,0.043,0.993,-3.113,2.380,-5.798
0.035,0.073,0.975,-6.348,3.174,-2.808
0.031,0.091,0.959,-6.836,2.319,-0.610
0.038,0.108,0.949,-5.859,0.000,0.305

0.072,0.602,2.530,27.100,115.784,16.846
0.044,0.364,2.848,6.836,133.667,4.883
-0.106,0.070,2.969,-13.672,142.395,5.066
-0.187,-0.005,2.830,-26.855,133.972,22.095
-0.196,0.093,2.369,-27.893,103.333,47.852
-0.099,0.318,1.815,-10.559,49.194,57.983
-0.093,0.379,1.336,25.330,-9.399,36.377
-0.147,0.370,1.094,61.401,-60.669,0.977
-0.105,0.325,0.983,87.830,-99.426,-32.654
-0.032,0.182,1.038,96.497,-122.742,-63.599
0.092,-0.008,1.227,74.829,-133.362,-81.543
0.243,-0.246,1.440,31.006,-132.263,-83.740
0.302,-0.281,1.454,-21.790,-109.680,-62.805
0.352,-0.303,1.150,-50.720,-68.909,-36.743
0.365,-0.186,0.729,-72.449,-26.672,-6.653
0.369,-0.019,0.296,-63.843,2.808,21.362
0.297,0.152,0.048,-38.391,10.132,44.617
0.253,0.230,-0.072,-18.311,9.766,54.565
0.213,0.250,-0.093,-9.033,1.831,55.664
0.164,0.187,-0.021,-2.197,-12.451,51.331
0.103,0.111,0.057,2.380,-22.827,45.227
0.072,0.040,0.069,3.662,-23.926,39.185
0.079,-0.025,0.105,5.859,-20.508,34.668
0.090,-0.063,0.073,7.935,-16.113,29.968
0.132,-0.095,0.005,11.902,-13.428,27.100
0.187,-0.086,-0.008,24.597,-14.282,26.184
0.238,-0.058,-0.012,27.283,-15.747,24.658
0.239,-0.055,0.001,21.118,-22.644,18.616
0.212,-0.061,-0.021,27.466,-33.997,8.484
0.193,-0.082,-0.006,35.217,-46.143,-2.258
0.143,-0.123,0.039,42.114,-57.678,-12.695
0.093,-0.181,0.109,48.218,-65.430,-21.484
0.032,-0.234,0.165,50.293,-66.772,-26.978
0.018,-0.240,0.168,49.805,-63.538,-28.992
-0.059,-0.266,0.254,48.523,-64.575,-28.931
-0.074,-0.292,0.260,42.175,-56.702,-29.968
-0.075,-0.293,0.243,36.621,-43.152,-28.320
-0.077,-0.295,0.250,32.715,-32.898,-25.391
-0.080,-0.300,0.250,26.917,-22.583,-21.851
-0.087,-0.247,0.292,14.954,-13.550,-17.334
-0.076,-0.219,0.348,2.563,-7.629,-14.709
-0.073,-0.213,0.396,-8.362,-3.052,-14.099
-0.054,-0.169,0.425,-19.165,3.113,-12.451
-0.043,-0.089,0.459,-17.822,12.085,-14.587
-0.031,-0.120,0.482,-13.184,21.973,-21.301
-0.008,-0.075,0.534,-23.560,32.593,-22.217
