aX,aY,aZ,gX,gY,gZ
0.211,0.300,0.938,-20.325,-1.404,7.507
0.207,0.296,0.918,-17.029,1.221,6.592
0.200,0.289,0.897,-13.062,3.418,5.981
0.198,0.287,0.896,-11.047,3.845,5.615
0.199,0.293,0.917,-10.376,2.991,5.615

-0.428,-0.885,1.686,-20.813,21.301,-29.358
-0.426,-0.965,1.843,-41.260,39.307,-47.791
-0.434,-1.027,1.996,-61.096,47.607,-66.162
-0.327,-1.007,1.995,-103.760,52.979,-85.510
-0.203,-0.864,1.904,-146.118,56.396,-101.318
-0.149,-0.591,1.812,-170.044,55.359,-114.990
-0.036,-0.365,1.774,-174.622,48.157,-129.333
0.107,-0.043,1.722,-174.011,34.851,-140.259
0.265,0.251,1.762,-173.340,13.306,-150.879
0.404,0.629,1.845,-171.753,-8.789,-159.851
0.528,1.021,1.841,-174.438,-25.818,-169.006
0.737,1.406,1.851,-182.678,-41.016,-178.650
1.025,1.735,1.746,-194.824,-49.072,-190.063
1.348,1.905,1.447,-201.538,-52.429,-194.336
1.672,1.939,1.159,-197.815,-58.899,-181.335
1.896,1.976,0.891,-174.805,-62.134,-149.414
2.005,1.985,0.538,-132.874,-59.631,-105.347
1.965,1.896,0.194,-86.853,-66.650,-59.082
1.886,1.887,0.077,-49.194,-85.815,-14.771
1.717,1.841,0.044,-35.950,-105.469,22.522
1.498,1.668,-0.036,-30.701,-114.685,45.349
1.313,1.443,-0.191,-27.283,-113.831,60.730
1.162,1.313,-0.360,-19.592,-106.018,79.590
1.057,1.205,-0.452,-11.963,-100.220,99.304
0.900,1.084,-0.515,-9.033,-93.567,114.807
0.786,0.979,-0.601,-4.883,-80.750,128.052
0.688,0.829,-0.619,3.723,-67.993,140.747
0.590,0.747,-0.613,17.090,-55.725,155.396
0.497,0.674,-0.600,35.278,-43.457,168.518
0.430,0.563,-0.581,54.138,-32.715,174.377
0.358,0.434,-0.599,69.519,-20.691,176.819
0.322,0.331,-0.605,80.505,-8.606,178.589
0.331,0.239,-0.581,89.905,0.183,180.420
0.358,0.147,-0.529,98.633,6.470,182.007
0.394,0.036,-0.519,108.521,9.033,183.167
0.404,-0.079,-0.473,117.920,8.179,184.265
0.407,-0.187,-0.341,125.854,3.235,185.425
0.437,-0.292,-0.206,133.118,-1.831,184.509
0.428,-0.395,-0.078,141.663,-4.150,181.641
0.391,-0.539,-0.017,149.719,-3.479,176.880
0.348,-0.649,0.085,148.560,-2.441,172.424
0.276,-0.764,0.265,142.517,-2.563,168.701
0.158,-0.864,0.357,138.733,3.357,166.382
0.007,-0.919,0.423,137.329,12.512,163.818
-0.100,-0.956,0.460,131.958,19.287,157.166
-0.141,-0.978,0.446,123.596,27.100,146.912
-0.152,-1.015,0.438,115.356,34.790,136.047
-0.174,-1.035,0.531,102.722,35.400,126.160
-0.195,-1.061,0.665,88.501,30.884,117.981
-0.226,-1.071,0.752,76.721,29.175,111.206
-0.292,-1.035,0.760,70.068,32.898,105.713
-0.357,-0.979,0.793,65.979,33.630,97.839
-0.414,-0.911,0.827,66.162,30.334,83.801
-0.434,-0.843,0.821,66.650,25.818,63.660
-0.404,-0.803,0.816,63.171,21.240,38.330
-0.342,-0.768,0.866,50.964,19.165,13.062
-0.256,-0.728,0.973,35.400,21.545,-7.202
-0.194,-0.663,1.136,20.386,28.748,-20.325
-0.153,-0.584,1.258,7.996,41.077,-26.917
-0.125,-0.521,1.304,-3.845,59.143,-30.334
-0.114,-0.446,1.314,-17.456,79.895,-32.532
-0.102,-0.349,1.320,-30.334,96.497,-34.424
-0.073,-0.219,1.337,-35.522,106.140,-37.048
-0.100,-0.177,1.342,-31.860,109.253,-43.091
-0.126,-0.044,1.341,-21.118,102.661,-54.321
-0.200,-0.319,1.585,-10.498,83.191,-78.918
-0.186,-0.216,1.734,-5.249,83.862,-86.304
-0.137,-0.049,1.598,4.822,105.469,-93.201
-0.070,0.027,1.216,14.038,112.671,-113.586
-0.028,-0.037,1.326,8.301,70.313,-135.437
-0.036,0.033,1.720,-2.502,34.119,-146.057
0.010,0.146,1.789,-7.935,51.025,-153.381
0.119,0.132,1.488,-9.827,84.595,-164.368
0.256,0.174,1.263,-28.564,81.299,-168.701
0.384,0.271,1.225,-61.401,46.631,-164.795
0.464,0.382,1.300,-88.257,6.958,-153.809
0.531,0.504,1.352,-97.900,-14.771,-137.329
0.559,0.603,1.329,-92.712,-17.273,-119.568
0.566,0.659,1.266,-81.055,-15.991,-101.929
0.564,0.694,1.214,-72.998,-17.578,-84.656
0.574,0.735,1.175,-69.397,-19.226,-67.444
0.564,0.774,1.147,-65.308,-20.081,-51.392
0.523,0.785,1.205,-57.556,-18.921,-37.048
0.452,0.723,1.114,-42.908,-12.329,-23.743
0.413,0.689,1.039,-35.645,-5.859,-11.230
0.353,0.636,1.008,-29.480,-5.737,-1.343
0.316,0.598,0.931,-23.865,-5.554,7.690
0.258,0.547,0.895,-15.747,-6.470,15.564
0.217,0.517,0.886,-3.723,-3.662,21.057
0.192,0.472,0.870,9.277,3.540,23.743
0.167,0.422,0.895,19.897,10.315,24.658
0.143,0.375,0.927,27.527,15.137,24.902
0.134,0.322,0.953,32.898,16.663,24.536
0.125,0.268,0.961,37.292,18.860,23.865
0.115,0.209,0.945,42.175,24.109,23.499
0.100,0.155,0.926,45.288,28.748,24.048
0.106,0.119,0.907,45.166,31.799,26.917
0.118,0.136,0.894,41.199,32.043,31.738
0.136,0.170,0.877,35.767,27.710,34.546
0.154,0.158,0.839,30.457,20.325,33.447
0.162,0.151,0.822,22.095,9.888,31.982
0.160,0.151,0.848,10.132,-2.014,30.518
0.158,0.141,0.905,-2.625,-11.719,28.076
0.156,0.141,0.954,-11.658,-18.188,24.902
0.165,0.133,0.974,-15.137,-21.729,21.179
0.156,0.120,0.973,-15.625,-23.071,16.724
0.131,0.111,0.963,-13.855,-22.583,13.428
0.130,0.116,0.959,-14.404,-22.339,11.108
0.135,0.115,0.969,-15.503,-23.499,8.728
0.139,0.120,0.990,-15.076,-23.560,7.080
0.133,0.125,0.993,-11.719,-21.667,6.042
0.124,0.117,0.981,-7.324,-18.372,4.700
0.121,0.116,0.979,-4.761,-15.381,4.395
0.125,0.129,0.979,-4.517,-13.123,5.432
0.133,0.150,0.974,-4.028,-10.925,7.019
0.138,0.156,0.971,-4.456,-9.277,8.118
0.148,0.167,0.967,-5.127,-7.751,9.583
0.148,0.176,0.949,-5.371,-4.822,11.169
0.141,0.181,0.927,-4.639,-2.197,13.245

-0.167,-0.277,2.068,-85.266,35.034,-84.290
-0.085,-0.159,2.224,-100.464,38.391,-95.703
-0.023,-0.046,2.318,-108.032,41.321,-105.530
0.037,0.151,2.359,-116.150,44.006,-112.244
0.146,0.444,2.318,-131.531,43.640,-116.760
0.298,0.782,2.173,-143.921,37.903,-121.582
0.477,1.075,1.995,-148.987,24.597,-127.014
0.731,1.380,1.801,-148.987,5.371,-122.620
0.889,1.678,1.647,-148.010,-18.311,-119.629
1.070,1.784,1.688,-143.616,-44.861,-124.207
1.220,1.739,1.489,-124.695,-56.335,-114.807
1.342,1.661,1.181,-122.925,-64.148,-93.445
1.328,1.659,1.071,-136.292,-84.656,-61.279
1.276,1.653,0.946,-129.456,-100.891,-26.672
1.209,1.571,0.806,-113.831,-108.948,0.671
1.151,1.479,0.690,-105.225,-112.915,22.278
1.078,1.391,0.576,-102.051,-109.680,42.603
0.974,1.247,0.368,-101.135,-98.145,61.401
0.879,1.114,0.044,-101.990,-80.200,79.163
0.825,0.997,-0.166,-109.009,-66.895,96.069
0.734,0.907,-0.281,-106.934,-57.556,115.234
0.643,0.836,-0.431,-89.050,-45.654,132.202
0.558,0.726,-0.587,-67.688,-34.851,143.433
0.536,0.640,-0.707,-42.542,-29.907,152.222
0.501,0.491,-0.723,-16.052,-30.396,160.278
0.457,0.357,-0.656,3.662,-30.334,168.274
0.442,0.196,-0.612,16.541,-22.949,176.514
0.424,0.053,-0.594,26.306,-9.766,185.852
0.411,-0.053,-0.667,36.926,5.432,194.275
0.431,-0.152,-0.785,49.805,18.738,197.937
0.464,-0.276,-0.846,65.002,23.682,196.228
0.487,-0.444,-0.784,83.618,21.301,190.857
0.449,-0.647,-0.642,103.271,17.883,184.753
0.335,-0.804,-0.442,120.300,16.602,179.749
0.258,-0.864,-0.302,129.456,20.142,174.255
0.215,-0.891,-0.244,135.132,27.100,165.100
0.168,-0.952,-0.177,143.127,31.433,154.053
0.082,-1.026,-0.016,148.071,30.151,145.081
-0.012,-1.131,0.176,145.081,26.672,139.099
-0.134,-1.230,0.415,135.986,26.550,134.888
-0.283,-1.332,0.692,125.916,32.043,132.629
-0.447,-1.363,0.920,114.258,46.387,130.310
-0.554,-1.332,1.010,101.990,67.993,124.817
-0.616,-1.246,0.967,88.013,87.524,112.244
-0.593,-1.092,0.840,75.928,99.426,93.384
-0.530,-0.988,0.705,72.327,98.083,68.298
-0.448,-0.891,0.639,77.942,87.036,41.870
-0.336,-0.784,0.719,87.158,70.496,19.287
-0.249,-0.727,0.956,93.933,52.002,-1.587
-0.175,-0.720,1.219,89.233,39.307,-19.958
-0.095,-0.702,1.398,71.167,41.199,-30.579
-0.033,-0.620,1.546,44.678,57.983,-30.579
-0.036,-0.520,1.620,18.738,82.397,-24.841
