aX,aY,aZ,gX,gY,gZ
-0.097,-0.567,1.058,-10.193,27.039,-95.154
0.024,-0.380,1.079,-13.855,34.851,-93.933
0.144,-0.146,1.076,-13.000,43.396,-89.722
0.235,0.018,1.086,-6.836,49.805,-85.510
0.309,0.161,1.093,-0.793,53.162,-82.214
0.381,0.282,1.091,6.165,54.993,-78.491
0.384,0.400,1.144,12.695,54.260,-75.439
0.451,0.541,1.173,16.296,52.551,-76.965
0.502,0.659,1.189,10.193,49.988,-84.717
0.506,0.754,1.228,3.784,44.189,-89.478
0.548,0.864,1.229,-0.122,38.208,-87.097
0.556,0.975,1.219,-2.747,29.785,-81.299
0.549,1.067,1.178,-4.272,20.569,-74.036
0.546,1.134,1.132,-5.859,4.822,-64.941
0.490,1.199,1.089,-7.263,-11.414,-55.298
0.438,1.235,1.059,-7.996,-22.522,-48.767
0.387,1.260,1.067,-9.155,-34.058,-43.701
0.375,1.298,1.070,-8.545,-35.706,-40.649
0.378,1.295,1.020,-10.376,-31.006,-38.330
0.373,1.297,0.971,-12.573,-23.682,-30.396
0.391,1.279,0.921,-12.207,-17.029,-17.761
0.412,1.256,0.899,-10.742,-14.282,-4.272
0.414,1.197,0.910,-7.446,-12.573,10.437
0.397,1.111,0.912,-3.113,-6.836,26.245
0.387,1.000,0.909,0.488,-1.831,41.443
0.362,0.869,0.902,2.747,1.831,53.772
0.308,0.722,0.937,4.395,1.831,64.575
0.236,0.572,0.975,4.883,1.587,74.219
0.153,0.406,1.020,2.197,0.610,80.200
0.054,0.259,1.072,-1.404,-1.099,83.618
-0.034,0.125,1.086,-8.423,-3.052,84.961
0.027,0.037,1.017,-15.808,-3.296,82.764
-0.113,-0.071,1.045,-20.752,-4.333,75.500
-0.203,-0.230,1.040,-21.118,-2.930,67.749
-0.267,-0.334,1.045,-17.578,0.000,64.819
-0.308,-0.430,1.081,-13.672,4.639,64.148
-0.371,-0.521,1.156,-8.789,11.047,62.500
-0.372,-0.624,1.177,1.770,29.053,66.833
-0.326,-0.643,1.136,9.949,36.682,80.139
-0.324,-0.652,1.136,10.620,21.423,91.858
-0.332,-0.682,1.174,2.991,0.427,103.638
-0.298,-0.557,1.139,-10.437,-7.263,116.821
-0.285,-0.556,1.110,-12.024,0.061,88.562
-0.271,-0.582,1.079,-13.916,0.671,43.640
-0.273,-0.515,1.071,-16.296,3.662,10.010
-0.239,-0.466,1.029,-20.325,3.784,-12.695
-0.192,-0.380,1.023,-22.522,-0.671,-25.452
-0.115,-0.288,1.047,-19.043,-5.798,-33.752
-0.046,-0.207,1.079,-8.850,-11.902,-38.818
-0.002,-0.149,1.111,4.150,-16.785,-39.734
-0.009,-0.133,1.156,17.456,-17.029,-40.344
-0.088,-0.098,1.236,27.832,-7.385,-46.936
-0.124,-0.120,1.219,33.569,13.611,-59.814
